State,City,Year,Season,Crop,Area,avgTemp,Cloud Cover,maxTemp,Precipitation,vapPressure,Rainfall,Wet Day Freq,minTemp,Production
Gujarat,Ahmedabad,2025,Clear,Arhar/Tur,1200,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,1150
Gujarat,Ahmedabad,2025,Clear,Bajra,2200,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,2850
Gujarat,Ahmedabad,2025,Clear,Castor seed,56800,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,85400
Gujarat,Ahmedabad,2025,Clear,Cotton(lint),184500,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,325700
Gujarat,Ahmedabad,2025,Clear,Groundnut,150,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,180
Gujarat,Ahmedabad,2025,Clear,Moong(Green Gram),950,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,450
Gujarat,Ahmedabad,2025,Clear,Moth,1680,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,900
Gujarat,Ahmedabad,2025,Clear,Other Kharif pulses,4500,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,2200
Gujarat,Ahmedabad,2025,Clear,Rice,112500,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,235000
Gujarat,Ahmedabad,2025,Clear,Sesamum,1800,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,950
Gujarat,Ahmedabad,2025,Partially cloudy,Tobacco,120,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,220
Gujarat,Ahmedabad,2025,Clear,Urad,150,30.7824,51.8456,37.852,358.642,72.4576,552.8,14.8732,23.462,120
Gujarat,Ahmedabad,2025,Clear,Gram,18200,22.6835,12.5426,33.450,1.825,0.3854,12.8,0.6248,11.620,14600
Gujarat,Ahmedabad,2025,Clear,Jowar,8500,22.6835,12.5426,33.450,1.825,0.3854,12.8,0.6248,11.620,9200
Gujarat,Ahmedabad,2025,Clear,Onion,150,22.6835,12.5426,33.450,1.825,0.3854,12.8,0.6248,11.620,2600
Gujarat,Ahmedabad,2025,Partially cloudy,Rapeseed &Mustard,1600,22.6835,12.5426,33.450,1.825,0.3854,12.8,0.6248,11.620,2500
Gujarat,Ahmedabad,2025,Clear,Tobacco,120,22.6835,12.5426,33.450,1.825,0.3854,12.8,0.6248,11.620,120
Gujarat,Ahmedabad,2025,Clear,Wheat,195200,22.6835,12.5426,33.450,1.825,0.3854,12.8,0.6248,11.620,490500
Gujarat,Ahmedabad,2025,Partially cloudy,Bajra,1200,31.254,26.4280,40.865,15.642,5.8675,105.6,0.8426,19.462,3100
Gujarat,Ahmedabad,2025,Partially cloudy,Moong(Green Gram),550,31.254,26.4280,40.865,15.642,5.8675,105.6,0.8426,19.462,350
Gujarat,Ahmedabad,2025,Partially cloudy,Rice,8500,31.254,26.4280,40.865,15.642,5.8675,105.6,0.8426,19.462,29800
Gujarat,Ahmedabad,2025,Clear,Guar seed,9800,28.2396,32.2054,40.865,376.109,32.2501,223.7,16.3402,11.620,5900
Gujarat,Ahmedabad,2025,Clear,other oilseeds,2100,28.2396,32.2054,40.865,376.109,32.2501,223.7,16.3402,11.620,1050
Gujarat,Amreli,2025,Clear,Arhar/Tur,950,28.6524,48.2546,33.645,192.465,28.6523,612.4,13.8765,21.548,830
Gujarat,Amreli,2025,Clear,Bajra,43500,28.6524,48.2546,33.645,192.465,28.6523,612.4,13.8765,21.548,102800
Gujarat,Amreli,2025,Clear,Dry chillies,350,28.6524,48.2546,33.645,192.465,28.6523,612.4,13.8765,21.548,220
Gujarat,Amreli,2025,Clear,Groundnut,296200,28.6524,48.2546,33.645,192.465,28.6523,612.4,13.8765,21.548,258400
Gujarat,Amreli,2025,Clear,Jowar,15800,28.6524,48.2546,33.645,192.465,28.6523,612.4,13.8765,21.548,6820
Gujarat,Amreli,2025,Clear,Moong(Green Gram),2950,28.6524,48.2546,33.645,192.465,28.6523,612.4,13.8765,21.548,1620
Gujarat,Amreli,2025,Clear,Moth,580,28.6524,48.2546,33.645,192.465,28.6523,612.4,13.8765,21.548,240
Gujarat,Amreli,2025,Clear,Urad,2200,28.6524,48.2546,33.645,192.465,28.6523,612.4,13.8765,21.548,1180
Gujarat,Amreli,2025,Clear,Gram,4200,20.8546,11.2653,29.865,4.286,11.2486,28.65,1.9876,12.232,2850
Gujarat,Amreli,2025,Clear,Jowar,1850,20.8546,11.2653,29.865,4.286,11.2486,28.65,1.9876,12.232,1650
Gujarat,Amreli,2025,Partially cloudy,Rapeseed &Mustard,1850,20.8546,11.2653,29.865,4.286,11.2486,28.65,1.9876,12.232,1920
